1.00003	769.385	163417	0.635852	49.8425	
2.00002	749.555	160368	1.21112	41.9824	
3.00001	749.952	168636	2.3046	30.6951	
4.00001	721.318	170289	2.01359	33.4703	
5.00001	674.682	169524	0.922092	47.6946	
6.00001	652.617	182533	1.20183	43.0969	
7.00001	628.309	177751	1.7597	36.2132	
8.00001	643.693	157578	1.94059	34.408	
9.00001	657.853	141317	3.2686	20.5684	
10	644.409	125788	4.26357	13.0815	
11	643.588	123668	3.08271	22.6905	
12	651.198	137796	3.36242	20.1502	
13	658.172	154942	2.31841	29.0738	
14	673.699	160712	3.13628	21.331	
15	677.971	169849	3.5584	17.9777	
16	665.081	191085	3.55476	18.4296	
17	663.969	230933	3.23554	21.3197	
18	631.746	236141	3.58488	17.9109	
19	591.287	198002	2.04614	33.5679	
20	556.679	156342	2.07771	32.4037	
21	494.712	118252	1.87612	35.6429	
22	438.863	87109	2.10439	32.2886	
23	443.229	71417.8	1.81615	35.9529	
24	480.476	69808.1	2.4604	28.6489	
25	526.429	86606	1.62326	37.9934	
26	565.975	108449	2.69449	26.3824	
27	631.855	146312	1.50587	38.1745	
28	696.473	186910	3.01721	23.5038	
29	744.754	226170	1.5803	37.5276	
30	746.229	254141	3.7905	16.1011	
31	712.165	272892	4.84997	9.4051	
32	678.384	310181	4.70275	10.1064	
33	656.719	366737	2.94392	23.5993	
34	690.782	420701	2.14183	31.1595	
35	772.545	450357	1.01759	45.6247	
36	812.052	411856	1.50398	39.1933	
37	763.432	318771	2.34629	30.4386	
38	728.424	253583	1.58351	39.0823	
39	727.539	218929	1.55913	39.6276	
40	729.826	205715	2.21948	31.9446	
41	711.408	196250	1.95703	34.5946	
42	691.967	196953	3.28502	20.9134	
43	674.212	192898	2.24895	31.4799	
44	649.866	187734	1.26779	43.163	
45	623.69	184246	2.14184	32.2654	
46	630.949	205349	3.12083	22.47	
47	646.354	210495	3.46098	19.5927	
48	683.672	225892	2.37863	29.4196	
49	714.583	242228	2.0075	33.429	
50	714.308	242194	4.66592	10.4791	
